header,header,header
аз,I,noun
ти,you,noun
той,he,noun
тя,she,noun
то,it,noun
ние,we,noun
вие,you plural,noun
те,they,noun
аз съм,I am,noun
ти си,you are,noun
той/тя/то е,he/she/it is,noun
ние сме,we are, noun
вие сте,you are plural,noun
те са,they are,noun
има,have,noun
няма,doesn't have,noun
плодове,fruits,food
може би,maybe,food
сметана,cream,food
билков,herbal,food
нещо за ядене,something to eat,food
сладолед,ice cream,food
кръчма/механа,restaurant,food
господине,Mr,noun
госпожо,Ms,noun
заповядайте,Welcome,gestures
съжалявам,excuse me,gestures
заето,occupied,adjective
разбира се,of course,noun
неще за пиене,something to drink,food
основни ястия,main dishes,food
топли напитки,hot drinks,food
студени напитки,cold drinks,food
печено,baked,food
телешко месо,beef meat,food
леща,lentils,vegetables
грах,peas,vegetables
маслини,olives,vegetables
ядки,peanuts,fruits
оцет,vinegar,fruits
круша,pear,fruits
ягода,strawberry,fruits
череша,cherry,fruits
слива,plum,fruits
праскова,peach,fruits
кайсия,apricot,fruits
пъпеш,melon,fruits
диня,water melon,fruits
зеленчуци,vegetables,vegetables
домат,tomato,vegetables
краставица,cucumber,vegetables
морков,carrot,vegetables
зеле,cabbage,vegetables
който,which,noun
чушка,pepper,vegetables
картоф,potato,vegetables
тиквичка,zucchini,vegetables
гъба,mushroom,vegetables
спанак,spinach,vegetables
маруля,lettuce,vegetables
пари,money,noun
точно,exactly,noun
пак,again,noun
прясно,fresh,adjective
откъде,from where,questions
аптека,pharmacy,city
банка,bank,city
библиотека,library,city
блок,block,city
болница,hospital,city
булевард,boulevard,city
кафе,coffee,city
кино,movies,city
музей,museum,city
театър,theater,city
улица,street,city
хотел,hotel,city
супермаркет,supermarket,city
университет,university,city
площад,square,city
пошта,post office,city
река,river,city
училище,school,city
църква,church,city
детска градина,kindergarten,city
детска площадка,playground,city
джамия,mosque,city
магазин,store,city
мост,bridge,city
община,municipality,city
пазар,market,city
паметник,monument,city
парк,park,city
във,in,preposition
на,on,preposition
до,next to,preposition
близо до,near to,preposition
пред,before,preposition
зад,behind,preposition
между,between,preposition
топка,ball,noun
кутия,box,noun
под,above,preposition
вървете направо,go straight,directions
завийте наляво,turn left,directions
завийте надясно,turn right,directions
души,people,noun
внук,grand child,family
семейство,family,family
родители,parents,family
баща,father,family
майка,mother,family
деца,kids,family
син,son,family
дъщеря,daughter,family
съпруг,husband,family
съпруга,wife,family
брат,brother,family
сестра,sister,family
чичо,uncle,family
леля,aunt,family
братовчед,cousin,family
племенник,nephew,family
дядо,grandfather,family
баба,grandmother,family
внучка,grand daughter,family
ми,mine,possessive
ти possessive,yours,possessive
му,his,possessive
и,hers,possessive
ни,ours,possessive
ви,yours plural,possessive
им,theirs,possessive
стол,chair,house
маса,table,house
шкаф,closet,house
печка,oven,house
хладилник,fridge,house
пералня,washing machine,house
легло,bed,house
диван,sofa,house
спалня,bedroom,house
гардероб,wardrobe,house
лампа,light,house
килим,carpet,house
вана,shower,house
мивка,sink,house
душ,standing shower,house
сапун,soap,house
врата,door,house
прозорец,hall,house
млад,young,adjective
стар,old,adjective
добър,good,adjective
лош,bad,adjective
висок,tall,adjective
нисок,short,adjective
слаб,thin,adjective
пълен,thick,adjective
работлив,diligent,adjective
мързелив,lazy,adjective
голям,big,adjective
малък,small,adjective
умен,smart,adjective
глупав,stupid,adjective
красив,handsome,adjective
грозен,ugly,adjective
модерен,modern,adjective
удобен,comfortable,adjective
скъп,expensive,adjective
евтин,cheap,adjective
уютен,util,adjective
